Name,Story,Genres,Certificate
Transformers Prime,In this new set of adventures the Autobots live on Earth and maintain their secret identity. They are joined by 3 teens as they battle the Decepticons.,"Animation ,Action ,Adventure ,Comedy ,Drama ,Family ,Sci-Fi",TV-Y7
How to Make It in America,"A group of 20 somethings living in New York City. Ben and Cameron work on starting a fashion company, while enjoying their lives in the greatest city in the world.","Comedy ,Drama",
The Code,"A look at the professional and personal lives of some of the military's brightest legal minds in the courtroom, where each attorney is trained as a prosecutor, a defense lawyer, an investigator - and a Marine.",Drama,TV-14
Teachers,"Teachers show their hilariously warped perspective as six elementary school educators trying to mold young minds, even though their own lives aren't really together.",Comedy,TV-14
The Secret of Skinwalker Ranch,"A team of scientists and experts who will conduct a thorough search in one of the most infamous and secretive hotspots of paranormal and UFO-related activities on earth,Skinwalker Ranch.They will attempt to find out the truth behind more than 200 years of mysteries - involving everything from UFO sightings and paranormal activities to animal mutilations and Native American legends of a shape-shifting creature known simply as as ""The Skinwalker.""","Horror ,Mystery ,Reality-TV",TV-PG
Kirby Buckets,"Follows 13-year-old Kirby Buckets, who dreams of becoming a famous animator like his idol, Mac MacCallister. Kirby sees his drawings take shape as he and his best friends, Fish and Eli, go on outrageous and unpredictable adventures.","Animation ,Comedy",TV-Y7
Vampirina,"""Vampirina"" tells the story of a young vampire girl who faces the joys and trials of being the new kid in town when her family moves from Transylvania to Pennsylvania.","Animation ,Short ,Comedy ,Family ,Fantasy ,Musical",TV-Y
The UnXplained,"The show will explore the facts behind the world's most fascinating, strange and inexplicable mysteries.",Documentary,TV-14
The Ellen Show,"Ellen Richmond decides to trade the stresses of her fast-track, big-city lifestyle for the slower pace of her quieter hometown, where she is known and loved. But is returning to her fishbowl-like hometown, her eccentric mother Dot, and her scatterbrained sister Catherine, the best course of action? Ellen gets reacquainted with her senior-prom date Rusty, who thinks they can pick up where they left off, and Mr. Munn, her befuddled teacher. Though worlds apart from the people who love her, Ellen begins to adjust to a very different way of life.","Comedy ,Romance",
Penn & Teller: Fool Us,"A highly entertaining and thrilling one-hour competition series celebrating magic and featuring the legendary magician duo Penn and Teller. On each episode, aspiring magicians from all around the world are invited to perform their best trick to try and fool the two. To avoid spoiling the tricks, when Penn and Teller are able to guess how the contestants' magic works, they usually explain it in code, and when the contestants do manage to fool them, they are rewarded with a guest spot on their famous magic show in Las Vegas. At the end of each episode, P&T also perform one of their own impressive tricks. British television and radio personality Jonathan Ross served as host until 2016, when Buffy the Vampire Slayer (1997) star Alyson Hannigan took over as the new charming host.","Comedy ,Game-Show ,Mystery",TV-PG
BrainDead,"A young, fresh-faced Hill staffer gets her first job in Washington, D.C. to discover two things: The government has stopped working, and alien spawn have come to earth and eaten the brains of a growing number of Congressmen and Hill staffers.","Comedy ,Drama ,Horror ,Sci-Fi ,Thriller",TV-14
Ghost Hunters,"This one-hour weekly docu-soap from the creator/executive producer of ""American Chopper"" follows a group of real-life paranormal researchers as they investigate haunted houses throughout the country, encountering every type of imaginable haunting. Jason Hawes and Grant Wilson, plumbers by trade, head up TAPS -- The Atlantic Paranormal Society -- a group of ordinary, everyday people with an interest in getting to the bottom of your otherworldly disturbances.",Thriller,TV-PG
Roadies,A road crew helps with a rock band's major multi-city tour.,"Comedy ,Drama ,Music",TV-MA
Kids Baking Championship,The best 10 to 13-year-old bakers compete against each other for the title of Kids Baking Champion.,Game-Show,TV-G
Doc McStuffins,"""Doc McStuffins"" is an imaginative animated series about Doc McStuffins, a young girl who aspires to be a doctor like her mom and communicates with and heals broken toys and stuffed animals.","Animation ,Short ,Family ,Fantasy ,Music ,Musical",
Clarence,"The adventures of a 4th grader named Clarence along with his two best friends, Sumo and Jeff.","Animation ,Short ,Adventure ,Comedy ,Family",TV-PG
Danny Phantom,"Action-packed adventures of Danny Fenton, who straddles two worlds as a shy freshman at Casper High and a heroic phantom-fighter with ghostly superpowers. With his best friends, techno-geek Tucker and free-thinking Goth girl Sam, he thwarts the misdeeds of menacing ghosts; and stumbles through daily social hurdles.","Animation ,Action ,Adventure ,Comedy ,Family ,Fantasy ,Horror ,Sci-Fi",TV-PG
Looney Tunes Cartoons,"A reboot of the Looney Tunes, which consists of 1000 minutes spread across 1-6 minute shorts featuring Bugs Bunny, Daffy Duck, Porky Pig, Tweety Bird, Sylvester Pussycat, Elmer Fudd, and the brand's other marquee characters played by a proficient voice cast in visually vibrant misadventures all driven by simple gags.","Animation ,Short ,Adventure ,Comedy ,Family",TV-Y7
United We Fall,A couple with young children and overzealous extended families let their judgmental grandmother move in with them.,Comedy,TV-PG
Wireless,"A self-obsessed college student stranded in the Colorado mountains, whose only hope for survival is the tool he has spent his whole life learning to use: his smartphone.","Short ,Thriller",TV-MA
The Kids Are Alright,A pair of working class parents in an Irish-Catholic family try to raise their eight kids during the 1970s.,Comedy,TV-PG
No Activity,"Set against the world of a major drug cartel bust, the series follows two low-level cops who have spent far too much time in a car together; two criminals who are largely kept in the dark; two dispatch workers who haven't really clicked; and two Mexican tunnelers who are in way too small a space considering they've only just met.",Comedy,TV-MA
Reef Break,"A crime drama featuring main character Cat Chambers, a thief-turned-fixer for the governor of a stunning and seductive Pacific Island paradise. Impulsive, reckless and irresistible, Cat's less-than-perfect past gives her an instinctive gift for understanding crime and criminals as she becomes enmeshed in fast-paced, high octane adventures and island intrigue. Cat's reappearance also makes waves for old friends, enemies and lovers, including an FBI agent ex-husband, her imprisoned crime boss and a police detective lover who is in over his head. Each episode will be a character-driven cocktail of crime, surf, sex and sunshine, and for Cat, the lines between work and play have never been blurrier.",None,TV-PG
The Event,"Jason Ritter stars as Sean Walker, a regular guy who launches an investigation into the disappearance of his fiancee. What he doesn't realize is that his probe begins to expose the biggest cover-up in American history. Walker's actions affect a number of strangers, including the newly elected president (Blair Underwood), and the global conspiracy he's uncovered could change the fate of mankind.","Crime ,Drama ,Mystery ,Sci-Fi ,Thriller",TV-14
Camping,"A man's camping trip with his wife and friends spirals out of control. A U.S. adaptation of the British series, 'Camping'.",Comedy,TV-MA
Human Target,"Christopher Chance is a highly discreet problem solver, specializing in desperate causes. He works with retired police detective Winston, who acts mainly as back-office, and Guerrero, a scary computer wizard and former gangster. Christopher is, and needs to be, a fearless unbeatable commando as well as handy and clever as MacGyver, assuming all kinds of identities, from bodyguard to monk and from lawyer to sports professional.","Action ,Adventure ,Crime ,Drama ,Thriller",TV-14
The Feed,A man's invention of a brain implant that allows people to share thoughts and emotions gets into the wrong hands.,"Drama ,Sci-Fi",TV-MA
Night Stalker,"Investigative reporter Carl Kolchak, who's after his wife's killer, teams up with Perri Reed, Jain McManus, and their boss Tony Vincenzo to investigate strange crimes in Los Angeles that may contain dark supernatural elements.","Crime ,Drama ,Fantasy ,Horror ,Mystery ,Sci-Fi ,Thriller",TV-PG
Being Mary Jane,"The life of a young black woman, her work, her family, and the popular talk show which she hosts.","Drama ,Romance ,Thriller",TV-14
Hello Ladies,A gawky Englishman comes to Los Angeles to find the woman of his dreams.,Comedy,TV-MA
Hoarders,Follows different people on their hoarding issues.,Documentary,TV-PG
Mad Dogs,"When a group of underachieving 40-something friends gather in Belize to celebrate the early retirement of an old friend, a series of wild, comedic events unfold, exposing dark secrets and a web of lies, deception and murder.","Comedy ,Crime ,Drama",
Black Scorpion,"The City of Angels is falling apart, and crime pervades the city to the core. The mayor is corrupt, the police are inept, the city needs a figure to take control of the situation. Then in the light of day Darcy Walker is a cop, but in the dark of night she becomes the Black Scorpion. She does with a mask what she can't do with a badge. This is vigilante justice, old school style.","Action ,Crime ,Drama ,Sci-Fi ,Thriller",
R.L. Stine's The Haunting Hour,"""R.L. Stine's The Haunting Hour"" is an anthology series aimed at kids and teens, and inspired by the stories of horror master R.L. Stine. Each thirty minute episode is a tale of horror and suspense, invariably involving a supernatural element. Disdaining gore and overt violence, the episodes rely on sharp story telling and imaginative cinematic techniques to evoke chills, thrills and scares.","Action ,Adventure ,Drama ,Family ,Fantasy ,Horror ,Sci-Fi ,Thriller",TV-PG
Power Rangers Dino Charge,"On prehistoric Earth, an alien entrusted powerful Energems to 10 dinosaurs, but when the dinosaurs went extinct, the Energems were lost. Now an intergalactic bounty hunter is determined to reclaim the Energems and destroy our planet. A new team of Power Rangers must find the lost Energems and use their Dino Chargers to power up an arsenal of dino-fueled battle gear, Zords and Megazords to save the world. Will the Power Rangers be able to save our planet?","Action ,Adventure ,Family ,Fantasy ,Sci-Fi",TV-Y7
Haters Back Off!,"We finally catch a glimpse of the home life of Miranda Sings, an untalented vocalist who has yet to be convinced that she is not a celebrity. Her mother, her uncle, and her best friend are finally revealed in this Netflix original comedy. Derived from the mind of Internet star Colleen Ballinger, Haters Back Off Is the most highly anticipated Netflix show of the year for all of her ""Mirfandas.""","Comedy ,Drama ,Family ,Romance",TV-14
The Astronaut Wives Club,"Based on Lily Koppel's best-selling titular novel, which tells the real story of the women who stood beside some of the biggest heroes in American history during the height of the space race.",Drama,TV-PG
Milo Murphy's Law,"An animated comedy adventure series that follows 13-year-old Milo Murphy, the fictional great-great-great-great grandson of the Murphy's Law namesake. Milo is the personification of Murphy's Law, where anything that can go wrong, will go wrong; but he is prepared for every possibility, armed with knowledge, a backpack full of supplies and his fearless friends, Melissa and Zack. Together, with an endless sense of optimism and enthusiasm, the trio turn any catastrophe into an adventure and often ruin Dakota and Cavendish's attempts to salvage pistachios along the way.","Animation ,Short ,Action ,Adventure ,Comedy ,Family ,Fantasy",TV-Y7
Small Shots,Short episode series about two actors trying to break through in Hollywood.,Comedy,
Pete the Cat,"Based on the New York Times #1 best-selling children's books by author James Dean, ""Pete the Cat"" is a fun, musically driven series about exploring your world and trying new things; pushing the boundaries while being smart, accepting, and optimistic. Pete is a very cool and loveable cat who, along with his friends, experiences the day-to-day challenges and changes that children can relate to on a personal level. Whether you're making new friends, or facing all of life's ups and downs, Pete highlights the lessons life can teach you.","Animation ,Comedy ,Family",TV-Y
Marvel's 616,"An anthology documentary series that explores the historical, cultural and societal impacts of the Marvel Comics Universe and its intersection with the world.",Documentary,TV-14
The Backyardigans,"Follows five high-spirited young friends - Uniqua, Pablo, Tyrone, Tasha and Austin - who rely on their vivid imaginations to embark on amazing, epic adventures. In every episode, the backyard transforms into a new fantastic, photo-real landscape that serves as the backdrop for completely original, story-driven musicals. Broadway-caliber music spanning a variety of genres and cutting-edge 3D dance choreography propel the stories forward.","Animation ,Adventure ,Comedy ,Family ,Musical",TV-Y
Supernatural: The Animation,"After losing their mother to a demon, two brothers grow up fighting supernatural beings.","Animation ,Drama ,Fantasy ,Horror ,Mystery",TV-14
Team Umizoomi,"Team Umizoomi is an American 2010 Nick Jr. and Nickelodeon TV show, involving preschool math concepts. Milli, Geo, Bot and the child who is watching the show uses their 'Mighty Math Powers!' to help in everyday problems. Team Umizoomi looks for problems in Umicity in Bot's Belly, Belly, Belly Screen! They live in Umicity. The show first aired in January 25, 2010. Milli is a measurement expert and has pattern powers. Geo uses shapes to build stuff that Team Umizoomi may need. Bot uses his Belly, Belly, Belly Screen to video call people who need help. This show is appropriate for young children and it teaches math. Team Umizoomi calls the viewer Umifriend and encourages the Umifriend to help them as they develop his/her Mighty Math Powers, just like Team Umizoomi.","Animation ,Family",TV-Y
Chrisley Knows Best,"Follows Atlanta-based self-made multimillionaire Todd Chrisley, his devoted wife Julie and their five children who live a seemingly picture-perfect Southern life with everything money can buy.",Reality-TV,TV-14
Thundercats,"After his home kingdom is destroyed by the ancient devil priest Mumm-Ra, the young Thundercat Lord Lion-O leads a team of survivors as they fight evil on Third Earth.","Animation ,Action ,Adventure ,Family ,Fantasy ,Sci-Fi",TV-PG
Undateable,"Danny Burton is a 30-ish carefree single guy who has watched most of his friends move on to serious relationships. When his last remaining friend Shannon moves out to get married, Danny searches for a new roommate. A promising candidate is Justin, the owner of Black Eyes Bar in Detroit (frequently mispronounced ""Black Guys Bar""). Justin and his friends - the nerdy Burski, oddball Shelly, and recently out-of-the-closet gay guy Brett - all have certain qualities that make them appear ""undateable"". While Danny himself has good luck getting women into bed, he is unable or unwilling to form a lasting commitment with any of them. Danny's attractive sister, Leslie, has similar fears about being undateable, having the ""baggage"" of being a mid-30s divorcee.",Comedy,TV-14
Dancing with the Stars,"U.S. reality show based on the British series ""Strictly Come Dancing,"" where celebrities partner up with professional dancers and compete against each other in weekly elimination rounds to determine a winner.","Family ,Game-Show ,Music ,Reality-TV",TV-PG
Evil Lives Here,A TV series where individuals share their perspectives of loved ones who performed horrific acts of crime,"Documentary ,Biography ,Crime",
Eastsiders,"What happens after the world ends? Written and directed by award winning playwright Kit Williamson, ""EastSiders"" explores the aftermath of infidelity on a gay couple in Silverlake. When Cal (Kit Williamson) finds out Thom (Van Hansis) has been cheating on him with Jeremy (Matthew McKelligon), their relationship is turned upside down. Will the lies tear them apart or are they just stubborn enough to stay together forever? Drunken outbursts and double standards abound in this dark comedy about the sad and funny messes we make out of our lives. Cal's best friend Kathy (Constance Wu) is always there for him with a bottle of whiskey in her purse, but she has her own problems with her nice guy boyfriend Ian (John Halbach), even if they're all in her head. Stephen Guarino guest stars as a party promoter throwing one last bash before the apocalypse.",Drama,
Survive,"When their plane crashes on a remote snow-covered mountain, Jane and Paul have to fight for their lives as the only remaining survivors. Together they embark on a harrowing journey out of the wilderness.","Short ,Adventure ,Drama ,Thriller",TV-MA
Stalker,A team of detectives investigates stalkers in Los Angeles.,"Crime ,Drama ,Thriller",TV-14
Love Bites,"A series about love, and all the crazy things it makes us do, like pretending to be a virgin to get a guy interested. Or competing with your fiancée's favorite bedroom toy. Or actually being in the position to take advantage of the ""celebrity exemption list,"" and join the mile high club at the same time! Love Bites pulls back the curtain to expose modern romance - in a way you've never seen before.",Comedy,
American Dreams,"Set to the soundtrack of the '60s, a Philadelphia family moves toward the cultural upheaval in the years ahead. The Pryors' teen daughter Meg tries to shed her ""good girl"" image by hanging with her worldly friend Roxanne and pursuing a dream of being an ""American Bandstand"" dancer. Meg's emerging personality, and the changes her mother's going through, don't sit well with Meg's father","Drama ,Family ,History ,Music ,Romance ,War",TV-PG
Soundtrack,Music connects the lives of random people living in Los Angeles.,"Drama ,Musical",TV-MA
The Wonderful World of Mickey Mouse,"Mickey and his best pals - Minnie, Donald, Daisy, Goofy and Pluto - embark on their greatest adventures yet, navigating the curve-balls of a wild and zany world where the magic of Disney makes the impossible possible.",None,TV-G
Brews Brothers,"Two rival brothers must work together to keep their brewery in business, but shenanigans keep foaming up their company with chaos.",Comedy,TV-MA
Council of Dads,A man comes to terms with a potentially terminal diagnosis.,Drama,TV-14
Metalocalypse,"Dethklok is the biggest, baddest, and most famous heavy metal band in the world. The quintet, consisting of Americans Nathan Explosion (vocals), William Murderface (bass), and Pickles the Drummer, along with Scandinavian guitarists Toki Wartooth and Skwisgaar Skwigelf, have to deal with their fame and other situations in their lives, all the while being monitored by a government organization out to destroy them.","Animation ,Comedy ,Music",TV-MA
Real Time with Bill Maher,Comedian and political satirist Bill Maher discusses topical events with guests from various backgrounds.,"Comedy ,News ,Talk-Show",TV-MA
Rush Hour,TV show based on the action-comedy 'Rush Hour' films about an L.A. cop who teams up with a detective from Hong Kong.,"Action ,Comedy ,Crime ,Drama ,Mystery ,Thriller",TV-14
Rise of the Teenage Mutant Ninja Turtles,Four mutant turtle brothers go on adventures where they end up tapping into mystic ninja powers.,"Animation ,Short ,Action ,Adventure ,Comedy ,Drama ,Family ,Fantasy",TV-Y7
The Late Show with Stephen Colbert,"Stephen Colbert took over as host, executive producer and writer of THE LATE SHOW on Tuesday, Sept. 8, 2015. The comedy-variety-talk show is broadcast five nights a week from the Ed Sullivan theater in New York.","Comedy ,Talk-Show",TV-PG
Sacred Lies,A teenager with no hands is suspected of knowing who killed her cult's leader and lands in juvenile detention.,"Drama ,Horror",
Lilo & Stitch: The Series,The rambunctious human and alien duo must hunt down Dr. Jumba Jookiba's 625 other experimental creatures infesting Hawaii.,"Animation ,Action ,Adventure ,Comedy ,Family ,Sci-Fi",TV-YT
Famous in Love,"An ordinary college student's big break in a Hollywood blockbuster puts her in a tricky love triangle with her roommate and her co-star. Can she maintain her schooling, friendships, and her newfound stardom?","Drama ,Romance",TV-14
The Big Show Show,"When Big Show's teenage daughter comes to live with him and his wife and two other daughters, he quickly becomes outnumbered and outsmarted. Despite being 7 feet tall and weighing 400 pounds, he is no longer the center of attention.",Comedy,TV-GT
Criminal Minds: Suspect Behavior,On the streets of San Francisco a team of the Federal Bureau of Investigation's Behavioral Analysis Unit use profiling to catch some of the most horrific serial killers and unidentifiable subjects.,"Action ,Adventure ,Crime ,Drama ,Fantasy ,Horror ,Mystery ,Thriller",TV-14
Dog with a Blog,"Their family adventure starts when the children's dad adopts a family dog named ""Stan"" so hopefully two fighting step brother and sister will come closer together as a family. It eventually works when the dog runs away and the two must work together to get it back. They bond even more when the kid's find out that the dog can talk and they must keep it a secret from the parents.","Comedy ,Drama ,Family ,Fantasy",TV-G
Hot Sluts,"Endless cleavage, bitchy girl fights, and an 800-pound disco ball, all in one slutty nightclub.",Comedy,
Fast n' Loud,These guys cruise for the classics. Meet self-described petrol-sexual motorhead Richard Rawlings and mechanical prodigy Aaron Kaufmann as they search far-flung corners of the country for forgotten and derelict classic cars to restore at their Gas Monkey Garage. Heaps of rust are transformed into gleaming road warriors and sold to the top bidder.,Reality-TV,
Dante's Cove,"A young gay couple must overcome dark, mystical forces conspiring against them, starting with a vengeful 19th century witch and her cheating warlock fiance.","Drama ,Horror ,Mystery ,Romance ,Thriller",
The Tick,"The story of superhero The Tick, based on the popular comic book.","Action ,Comedy ,Sci-Fi",TV-G
Singapore Social,A Reality TV-series following a group of young Singaporeans.,Reality-TV,
The American Runestone,"Actor Peter Stormare's personal and often humorous journey through Minnesota to learn the truth about the Kensington Runestone, a disputed proof that vikings discovered America, through meetings with scholars, skeptics and sensationalists.","Documentary ,Adventure ,Mystery",
Joan of Arcadia,"Millions of people speak to God. What if God spoke back? Life just got a hell of a lot more confusing for teenage Joan Girardi, who already deals with feeling out of place in her family : her police chief father, her somewhat overbearing mother, her geeky younger brother and former football star older brother, now paralyzed. They'd never believe her if she told them that God is talking to her. Does Joan have a higher purpose on earth, or are these strange conversations just in her head?","Comedy ,Crime ,Drama ,Fantasy",TV-PG
Invasion,"In the aftermath of a hurricane, a Florida Park Ranger and his family deal with strange occurrences, including luminescent creatures in the water and people that somehow seem to have changed after surviving the night of the disaster out in the open.","Drama ,Horror ,Mystery ,Romance ,Sci-Fi ,Thriller",TV-14
Mike Tyson Mysteries,"In this macabre comedy, retired boxing champion Mike Tyson, his brainy adopted Asian-American daughter, a friendly but wimpy gay gentleman ghost and a cursed perverse mean-spirited talking pigeon solve weird mysteries together.","Animation ,Adventure ,Comedy ,Crime ,Fantasy ,Horror ,Mystery ,Sci-Fi",TV-14
Airplane Repo,"Meet three adrenaline-seeking repo men chase multi-million dollar jets across America looking for a big payoff. Relying upon wits, skill and sheer cojones, to stay one step ahead of the law and airplanes with issues, it's high risk for high reward for these super repo men.",Reality-TV,
Second Chance,"It follows the life of Jimmy Pritchard, a 75-year-old former King County, Washington sheriff who was morally corrupt and later disgraced and forced to retire. After he is killed in a robbery at his son's home, Pritchard is brought back to life in the improved body of a younger man by billionaire tech-genius twins Mary and Otto Goodwin. However, despite having a new life and a chance to relive his life and find a new purpose, the temptations that led to his career being tarnished continue to haunt him","Drama ,Sci-Fi",TV-14
American Idol: The Search for a Superstar,"Twelve finalists and/or future singers (six men and six women) who were selected from America, compete in a talent contest in which they were asked to sing any song they like on this ""Star Search"" clone. After each song that was sung, the judges, Abdul, Jackson and Cowell, then critique that finalist's chosen song. After each show's ending, America must vote for a finalist to whom they really think their performance is good using this AT&T (now Cingular Wireless) or any other cellular phone to cast votes with. Once the votes are locked in, the judges and America decides who has the most and the least amount of votes, and the contestant with the least amount of votes is eliminated, and it goes on each week's show until the winner is crowned as ""American Idol,"" where he/she wins a recording contract worth up to $1,000,000. The rest of the other finalists to whom they have been voted off before (the runner-up) also get recording contracts, too.","Game-Show ,Music ,Reality-TV",TV-PG
Total Bellas,"In addition to twin sisters Nikki and Brie Bella being two of the most popular divas in recent WWE history, they are romantically involved with two former WWE champions on the men's side, John Cena and Daniel Bryan, respectively. That quartet is at the forefront of this show, which provides a look at their lives away from the bright lights and big stage of the world-famous arenas where they compete. Entering new chapters in their lives, both personally and professionally, the stars move in together as they deal with injuries, Daniel and Brie's retirements and John's burgeoning career in Hollywood.",Reality-TV,TV-14
Ask the StoryBots,"Based on the award-winning educational apps, the StoryBots are curious little creatures who live in the world beneath our screens and go on fun adventures to help answer kids' questions.","Animation ,Adventure ,Comedy ,Family ,Musical ,Mystery",TV-Y
The Other Two,"An aspiring actor and his sister Brooke, a former professional dancer, try to find their place in the world while wrestling with their feelings about their 13-year-old brother Chase's sudden rise to internet fame.",Comedy,TV-MA
Big Brother,"Based on the Dutch series, thirteen strangers who are living in a studio-like house that's filled with cameras and microphones, compete in a series of physical and mental stunts, and some challenging trivia at a chance at $500,000 in this reality soap opera-like summer program. Thirteen of those house guests live in 13 different states. America will watch every single move they compete to be the last one standing, after having twelve house guests evicted. These strangers are the contestants who think they have absolutely nothing in common, and a few are in a shock for their lives. The house guests begin to introduce other people at the Big Brother house. It's the first time they will get to know each other and they're not allowed to say not one word with them until they are in the Big Brother house. The thirteen will be living in the same house for the following two months. They may either find their best friend or worst enemy in that group; and in the end, it's one men for themselves...","Game-Show ,Reality-TV",TV-MA
Intelligence,"A high-tech intelligence operative, enhanced with a super-computer microchip in his brain, aids an elite government cyber-security agency in special missions.","Action ,Drama ,Sci-Fi ,Thriller",
Sheena,"Orphaned at the age of 6, Shirley Hamilton is taken in by the Shamaness Kali and taught how to morph into almost any animal. She shall become Sheena, Queen of the Jungle.","Action ,Adventure",
The Mysteries of Laura,A New York City homicide Detective cracks case after case while raising wild twin boys and locking horns with her less than helpful Police Detective ex-husband.,"Comedy ,Crime ,Mystery",
Extant,An astronaut (Berry) returns home from a year long solo mission in space. She tries to reconnect with her husband and son in their everyday life. Her experiences in space and home lead to events that ultimately will change the course of human history.,"Drama ,Sci-Fi ,Thriller",TV-14
The Hillywood Show,"The Hillywood Show® is the brainchild of internet celebrities, comedy sister duo Hilly & Hannah Hindi. Each parody features song & dance parodies of blockbuster films such as The Lord Of The Rings, Harry Potter, and Twilight along with popular TV shows & celebrities such as Supernatural, Doctor Who, & Lady Gaga! Their incredible costumes & makeup would impress even the most seasoned Saturday Night Live cast member! With nearly 170,000,000 views The Hillywood Show® continues to grow! The Hillywood Show® has been recognized and approved by the CAST OF SUPERNATURAL, BBC AMERICA, THE CAST OF DOCTOR WHO, LADY GAGA, SEAN ASTIN, BILLY BOYD, CHRIS HARDWICK, PSY, IAN SOMERHALDER, NINA DOBREV, PAUL WESLEY, TERESA PALMER, THE CAST OF THE TWILIGHT SAGA, MTV, RYAN SEACREST and more!","Short ,Comedy ,Music",
Kings of Con,A glimpse into the behind the scenes shenanigans that happen at fan conventions when the actors are the craziest ones there.,Comedy,TV-14
Project Mc²,"McKeyla, Adrienne, Bryden, and Camryn are four super smart and science-skilled girls recruited to join the spy organization, NOV8.",Family,TV-Y7
BattleBots,"BattleBots is a robot combat competition that takes place in an elimination style tournament. Designers build, operate and battle their destructive robots until a champion is crowned.","Action ,Game-Show ,Reality-TV ,Sport",
Training Day,TV follow-up to the 2001 film 'Training Day' about a rookie cop partnered with a corrupt officer.,"Action ,Crime ,Drama",TV-14
American Gothic,"AMERICAN GOTHIC centers on a prominent Boston family reeling in the wake of the chilling discovery that someone in their midst is linked to an infamous string of murders. As shocking secrets from the past and present are revealed, their mounting suspicion and paranoia that one of them is a killer threatens to tear the family apart.","Crime ,Drama ,Mystery ,Thriller",TV-14
Bar Rescue,"In Spike TV's new series, Bar Rescue, Jon Taffer, one of the country's top restaurant and bar consultants, will give failing establishments one last chance to succeed. The show will delve into every business facet of running a bar from creating a profitable drink/food menu to crowd management to music selection to managing disgruntled employees. This marks the first food/beverage-themed show for Spike TV, furthering its effort to expand and broaden its audience. Taffer will use his ""in-your-face"" style along with his renowned method of management called ""Taffer Dynamics"" to transform the bar into a vibrant, profitable establishment. He will utilize everything from state-of-the-art science such as eye tracking technology, monitoring of body temperature and even reading pheromone output in patrons in order to create an ambitious plan of action. Taffer will focus on one establishment per episode from cities all around the country. Taffer's wife, Nicole, will appear in the show along with...",Reality-TV,TV-PG
Blade: The Series,The adventures of the half human/vampire hunter.,"Action ,Drama ,Fantasy ,Horror ,Mystery ,Sci-Fi",TV-14
Naked and Afraid XL,A group of amateur survivalists are put to the ultimate test in the wild for 40 days with nothing but a few primitive tools. No food. No clothing. No water. They must hunt and gather whatever they need until extraction day.,"Adventure ,Reality-TV",TV-14
Other Space,"It is the year 2105... a young, inexperienced and highly flawed crew embarks on a routine exploratory space mission. Suddenly, their ship, the UMP Cruiser, is drawn through a portal into a different, mysterious universe. With no maps, no contact, and no way back home, Captain Stewart Lipinski, First Officer/Stewart's-Older-Sister Karen Lipinski and their crew have to learn to work together, all while dealing with mysterious space clouds, food and fuel shortages, robot rebellions, folds in time, and the occasional alien attack.","Adventure ,Comedy ,Sci-Fi",
Blaze and the Monster Machines,"AJ is an 8-year-old techie who drives monster-truck Blaze, the top racer in Axle City. The two go on adventures that have them taking on problems involving science and math. Many predicaments they face are caused by Blaze's rival, Crusher, a tractor-trailer that will do anything to beat other vehicles to the finish line, who also has his own subplots in some episodes featuring his boyfriend Pickle. The animated series is billed as the first TV show for preschoolers to comprehensively cover areas of science, technology, engineering and math. Most episodes introduce different STEM concepts, including but not limited to buoyancy and trajectory.","Animation ,Action ,Comedy ,Family",TV-Y
Dino Dana,"Dana is a 9-year old girl who loves dinosaurs. Her life changes forever when she's given a Dino Field Guide, which not only teaches her new things about dinosaurs, but gives her the power to imagine dinosaurs into real life.","Short ,Adventure ,Comedy ,Family ,Sci-Fi",TV-YT
1000 Ways to Die,"1,000 Ways to Die, an anthology television series, which aired on Spike/Spike TV from May 14, 2008 to July 15, 2012 showcased shocking reenactments of deaths of individuals who often met the grim reaper in very unorthodox or outlandish ways. Often recreated in a fast-paced, very tongue-in-cheek manner, the stories were based on actual events, but dramatic license was liberally used. Voice-over-narration provided background information on each death. The deaths were recreated in a variety of ways including witness testimonials, historical tidbits, scientific expert analysis, graphic computer-generated imagery animation, interviews, live-action recreation, and even actual footage, when available. Each death ended with a title which was a pun, often based on some popular word or phrase.",Documentary,TV-14
Strong Medicine,Dr. Luisa Delgado ran the South Philly Women's Clinic so that poor women could get the medical help they needed. Dr. Dana Stowe did medical research on cancer to help women. Together they now run a women's clinic at Philadelphia's Rittenhouse Hospital to help all women.,Drama,
Those Who Kill,"Follows Catherine Jensen, a recently promoted homicide detective who enlists the help of Thomas Schaeffer, a forensic psychologist, to track down serial killers and relentlessly seeks the truth behind the disappearance of her brother.","Action ,Crime ,Drama ,Mystery ,Thriller",TV-14
Wild Kratts,"Chris and Martin Kratt are brothers who explore the wild throughout the world to learn more about animals and share conservation information. They have three friends who travel in the Tortuga HQ with them named Aviva, Koki and Jimmy Z. The brothers have creature power suits that allow them to experience what it's like to be the animals they find. The team helps them by creating power suit creature disks for each animal they study. They also bring them supplies and help them out of tricky situations when their adventures get dicey. The group has to overcome villains as well, like a chef who wants to serve endangered species on his menu, or a clothing designer who wants to trap and use live animals to make her clothing line, or a tech villain who wants to turn animals into robots to do his bidding. All of the villains have no regard for nature or conservation. Wild Kratts is a great cartoon adventure show for kids where they can learn about new animals and why conservation is so ...","Animation ,Adventure ,Comedy ,Family",TV-Y
Freakish,A group of high schoolers struggles against predatory mutants who have taken over their town after a chemical plant meltdown.,"Horror ,Sci-Fi",TV-14
